"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","240","Создание заказа без ингредиентов возвращает 400","tests","2026-07-05","passed","2026-07-05","TestCreateOrder","test_create_order","",""
"","3791","Создание заказа с авторизацией и ингредиентами","tests","2026-07-05","passed","2026-07-05","TestCreateOrder","test_create_order","",""
"","218","Регистрация уже существующего пользователя возвращает 403","tests","2026-07-05","passed","2026-07-05","TestUserRegistration","test_user_registration","",""
"","324","Вход с неверным паролем","tests","2026-07-05","passed","2026-07-05","TestUserLogin","test_user_login","",""
"","232","Создание заказа с невалидным хешем ингредиента возвращает 500","tests","2026-07-05","passed","2026-07-05","TestCreateOrder","test_create_order","",""
"","241","Создание заказа без авторизации","tests","2026-07-05","passed","2026-07-05","TestCreateOrder","test_create_order","",""
"","319","Вход без email","tests","2026-07-05","passed","2026-07-05","TestUserLogin","test_user_login","",""
"","0","Успешная регистрация нового пользователя","tests","2026-07-05","passed","2026-07-05","TestUserRegistration","test_user_registration","",""
"","321","Успешный вход существующего пользователя","tests","2026-07-05","passed","2026-07-05","TestUserLogin","test_user_login","",""
"","243","Регистрация без email возвращает 403","tests","2026-07-05","passed","2026-07-05","TestUserRegistration","test_user_registration","",""
"","256","Вход с несуществующим email","tests","2026-07-05","passed","2026-07-05","TestUserLogin","test_user_login","",""
"","247","Вход без пароля","tests","2026-07-05","passed","2026-07-05","TestUserLogin","test_user_login","",""
