"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","617","Вход без пароля","tests","2026-07-21","passed","2026-07-21","TestUserLogin","test_user_login","",""
"","594","Регистрация уже существующего пользователя возвращает 403","tests","2026-07-21","passed","2026-07-21","TestUserRegistration","test_user_registration","",""
"","652","Вход с неверным паролем","tests","2026-07-21","passed","2026-07-21","TestUserLogin","test_user_login","",""
"","644","Регистрация без email возвращает 403","tests","2026-07-21","passed","2026-07-21","TestUserRegistration","test_user_registration","",""
"","539","Создание заказа с невалидным хешем ингредиента возвращает 500","tests","2026-07-21","passed","2026-07-21","TestCreateOrder","test_create_order","",""
"","4265","Создание заказа с авторизацией и ингредиентами","tests","2026-07-21","passed","2026-07-21","TestCreateOrder","test_create_order","",""
"","678","Вход с несуществующим email","tests","2026-07-21","passed","2026-07-21","TestUserLogin","test_user_login","",""
"","1297","Успешная регистрация нового пользователя","tests","2026-07-21","passed","2026-07-21","TestUserRegistration","test_user_registration","",""
"","553","Создание заказа без ингредиентов возвращает 400","tests","2026-07-21","passed","2026-07-21","TestCreateOrder","test_create_order","",""
"","639","Успешный вход существующего пользователя","tests","2026-07-21","passed","2026-07-21","TestUserLogin","test_user_login","",""
"","991","Вход без email","tests","2026-07-21","passed","2026-07-21","TestUserLogin","test_user_login","",""
"","620","Создание заказа без авторизации","tests","2026-07-21","passed","2026-07-21","TestCreateOrder","test_create_order","",""
